Country Name,Region,ThirdWorld,Broadband2008,Broadband2013,Electricity2008,Electricity2013,Mobile2008,Mobile2013,Life_expectancy2008,Life_expectancy2013,Mortality_infant_rate2008,Mortality_infant_rate2013,Physician2008,Physician2013
Armenia,Western Asia,0,0.474580911,8.388287086,1669.4094644579836,1931.2581166506131,49.59385999,115.4848446,1669.4094644579836,1931.2581166506131,18.3,14.2,2.7432,2.9031
Austria,Western Europe,0,20.72760735,26.092224,8233.014832909852,8509.611580336052,129.6644309,155.1157881,8233.014832909852,8509.611580336052,3.8,3.2,4.6169,4.9744
Azerbaijan,Western Asia,0,0.680127678,18.24285161,2040.760435447429,2092.5365206294578,74.2246006,107.9339038,2040.760435447429,2092.5365206294578,37.0,26.8,3.6844,3.4558
Bahrain,Middle East,0,8.398937416,22.81746092,18491.08909114561,18693.123877876456,129.2597347,168.0717065,18491.08909114561,18693.123877876456,8.0,6.7,0.9896,0.9536
Bangladesh,South Asia,1,0.034649034,0.998501467,207.52692902195116,301.96761796121905,30.93465762,76.29745621,207.52692902195116,301.96761796121905,42.6,33.5,0.342,0.4218
Belarus,Eastern Europe,0,5.056461778,29.56269142,3481.7435165987354,3648.3214604864124,85.98460465,117.9437886,3481.7435165987354,3648.3214604864124,5.0,3.4,3.1477,4.8534
Belgium,Western Europe,0,27.67016385,34.32772916,8521.496739534265,7989.671852635181,105.2227353,110.4106783,8521.496739534265,7989.671852635181,3.8,3.4,2.9021,2.9585
Benin,Africa,1,0.096861866,0.424575078,86.35245946407433,96.75555050010026,41.68562644,96.23029067,86.35245946407433,96.75555050010026,73.1,66.8,0.0623,0.1849
Bosnia and Herzegovina,Eastern Europe,0,5.019882688,14.56848433,2986.4732366769385,3474.286385302538,84.67785091,98.46759702,2986.4732366769385,3474.286385302538,6.9,5.6,1.6714,2.0355
Brazil,South America,0,5.216317824,10.62528321,2229.845299151183,2568.8296952170294,78.44665887,134.8514284,2229.845299151183,2568.8296952170294,18.4,14.9,1.7802,1.882
Brunei Darussalam,Southeast Asia,0,4.451783112,6.81393894,8589.471242798181,9873.545426221644,105.122542,115.9222691,8589.471242798181,9873.545426221644,7.7,8.4,1.4866,1.6222
Bulgaria,Eastern Europe,0,11.21135362,19.49979205,4674.503150524901,4639.706322611549,138.6083388,143.8504446,4674.503150524901,4639.706322611549,9.5,7.7,3.6488,3.963
Cambodia,Southeast Asia,1,0.1195203,0.21727192,114.5936983549574,221.54444897722863,30.51750691,134.8600177,114.5936983549574,221.54444897722863,43.3,30.3,0.2444,0.4758
Canada,North America,0,29.52309639,34.26529941,16377.479696134866,15750.811633478754,66.26894203,80.34784611,16377.479696134866,15750.811633478754,5.0,4.7,1.959,2.4509
Chile,South America,0,8.541752228,13.0618791,3338.2899650502104,3879.859848137135,88.55856188,134.6574258,3338.2899650502104,3879.859848137135,7.6,7.1,1.0389,1.8806
China,East Asia,0,6.122995604,13.5721864,2446.3690545840236,3773.4053839013395,47.37436885,88.30574902,2446.3690545840236,3773.4053839013395,15.8,10.8,1.3166,1.6332
Colombia,South America,0,4.004268447,9.759270646,988.4539075067091,1310.6646984185047,93.46915912,108.17202,988.4539075067091,1310.6646984185047,16.8,14.3,1.5428,1.8431
Costa Rica,North America,0,2.463274051,10.22505397,1889.0359956469943,1939.8533691008076,42.27015824,149.9751271,1889.0359956469943,1939.8533691008076,9.5,8.2,2.1577,1.1411
Croatia,Eastern Europe,0,12.13032746,22.32428673,3990.296319585679,3754.2686977361363,104.6441053,110.3918348,3990.296319585679,3754.2686977361363,5.0,4.3,2.7113,3.0178
Cuba,North America,0,0.019987593,0.047506262,1323.398868467715,1435.5578379047183,2.952183467,17.68808824,1323.398868467715,1435.5578379047183,5.1,4.4,6.6345,7.4183
