Country Name,Region,ThirdWorld,Broadband2008,Broadband2013,Electricity2008,Electricity2013,Mobile2008,Mobile2013,Life_expectancy2008,Life_expectancy2013,Mortality_infant_rate2008,Mortality_infant_rate2013,Physician2008,Physician2013
Cyprus,Middle East,0,18.48111432,26.71270396,4554.498653806326,3587.8328405599955,127.5867737,128.1609557,4554.498653806326,3587.8328405599955,3.3,2.5,2.0507,2.4076
Czech Republic,Western Europe,0,16.87809213,26.97925752,6489.126257402426,6284.790806248878,132.1804643,129.5920015,6489.126257402426,6284.790806248878,3.0,2.5,3.5415,3.6628
Denmark,Northern Europe,0,36.48199102,40.3040539,6534.123850189156,6039.43200024506,119.2672102,124.7068318,6534.123850189156,6039.43200024506,3.7,3.5,3.5768,3.8335
Estonia,Northern Europe,0,21.98835437,27.36399047,6364.567830138584,6664.658569025574,121.2221275,146.1207282,6364.567830138584,6664.658569025574,4.3,2.8,3.3348,3.3318
Finland,Northern Europe,0,30.41668413,31.62724201,16349.233325033561,15510.835503473818,128.3967569,136.2607929,16349.233325033561,15510.835503473818,2.7,2.2,3.0618,3.2966
France,Western Europe,0,28.66135233,39.03368925,7643.45103708694,7367.843768402356,93.18877831,99.10863425,7643.45103708694,7367.843768402356,3.6,3.5,3.4156,3.1948
Georgia,Western Asia,0,2.706742415,12.76782356,1881.5372114844188,2498.3403574498852,66.505345,123.3264447,1881.5372114844188,2498.3403574498852,15.4,10.2,4.0001,4.5145
Germany,Western Europe,0,28.01446411,35.2844895,7187.764009096226,7217.529089154951,130.1697232,123.2334833,7187.764009096226,7217.529089154951,3.6,3.3,3.5863,4.0087
Ghana,Africa,0,0.097522367,0.25855351,261.2902689172118,375.9446393613023,49.10251201,105.3324411,261.2902689172118,375.9446393613023,50.5,41.8,0.0787,0.1686
Greece,Eastern Europe,0,13.64998027,27.1234207,5805.1925460926905,5028.995794061783,124.9905234,116.5555142,5805.1925460926905,5028.995794061783,3.5,3.7,3.7576,4.2155
Hungary,Eastern Europe,0,17.7201518,26.41020272,3988.7676939304183,3892.113701271252,122.34113,117.8606544,3988.7676939304183,3892.113701271252,5.5,4.7,3.1049,3.2284
Iceland,Northern Europe,0,34.10485884,35.9020988,50063.95433093688,54799.17470750299,108.385233,108.8869668,50063.95433093688,54799.17470750299,2.2,1.9,3.7182,3.5697
India,South Asia,0,0.439754556,1.165457452,561.2475814144806,764.2011341446213,28.89137464,69.19699374,561.2475814144806,764.2011341446213,49.4,38.8,0.6136,0.7182
Ireland,Northern Europe,0,20.18271816,25.76605129,6340.733045494153,5698.75617887909,114.3177837,105.7496368,6340.733045494153,5698.75617887909,3.8,3.3,4.0144,3.9314
Israel,Middle East,0,23.98574757,25.8958135,7134.0028458844145,6710.093678267883,127.9334826,122.8208828,7134.0028458844145,6710.093678267883,3.9,3.3,3.5637,3.4866
Italy,Western Europe,0,19.13757364,23.29020159,5757.960611477799,5159.183655037853,153.3227536,160.9908765,5757.960611477799,5159.183655037853,3.5,3.1,3.7806,3.9044
Jamaica,North America,0,3.498466502,4.925854721,1160.3709592363982,1013.0443451766706,97.89519734,99.56218045,1160.3709592363982,1013.0443451766706,16.2,14.3,0.3965,0.4677
Jordan,Middle East,0,2.224334467,3.854708948,1847.6397294704027,1854.3273664302067,81.0429624,121.0705081,1847.6397294704027,1854.3273664302067,18.2,16.0,2.2231,2.1947
Kazakhstan,Western Asia,0,2.126449278,11.50481346,4658.571897791574,5345.468426586261,94.00111826,178.3430714,4658.571897791574,5345.468426586261,21.9,13.0,3.7161,3.9508
Kenya,Africa,0,0.008247893,0.162882318,138.8721909417736,160.9842322886479,40.97200639,69.92534333,138.8721909417736,160.9842322886479,41.4,37.5,0.1664,0.1907
"Korea, Rep.",East Asia,0,31.46433151,37.21769222,8772.28746321352,10384.622164916449,92.73018818,108.6107086,8772.28746321352,10384.622164916449,3.9,3.2,1.8407,2.1632
Kuwait,Middle East,0,1.506018993,1.332813064,17031.1858765592,15195.177380102326,56.472399,181.7730157,17031.1858765592,15195.177380102326,9.4,7.9,1.8806,2.5332
Kyrgyz Republic,Western Asia,0,0.36217081,2.376422953,1378.7203639987215,1887.0200713336596,64.58667104,117.555938,1378.7203639987215,1887.0200713336596,29.6,22.0,2.3528,2.2614
Latvia,Northern Europe,0,18.98014009,24.25478873,3213.1214400074955,3472.541384554768,105.8653067,125.0882048,3213.1214400074955,3472.541384554768,7.3,5.1,3.2424,3.1408
Lithuania,Northern Europe,0,18.36687816,27.79057301,3733.6264953969867,3663.6711973436018,156.3289463,151.7472966,3733.6264953969867,3663.6711973436018,5.9,4.1,3.453,4.2042
Luxembourg,Western Europe,0,29.50113822,32.53096432,15937.78778266653,14193.16843345112,145.6515693,145.3057726,15937.78778266653,14193.16843345112,2.6,2.4,2.7359,2.8327
Malta,Western Europe,0,23.98318889,33.55852738,4836.593963051353,4915.873764869109,94.17447514,130.6231829,4836.593963051353,4915.873764869109,5.9,6.0,3.3553,2.4595
Mauritius,Africa,0,4.23727993,12.93558017,1881.649775222828,2148.3284114048906,83.38026987,122.1552078,1881.649775222828,2148.3284114048906,12.8,13.1,1.17,1.6296
Mexico,North America,0,6.797468374,10.72808009,2046.6944303489145,2144.0889800629584,67.95405391,89.83415248,2046.6944303489145,2144.0889800629584,17.5,14.9,1.9494,2.1568
Moldova,Eastern Europe,0,2.801605975,11.51936477,2524.7876193703964,1683.9869422798959,58.92244652,90.72895905,2524.7876193703964,1683.9869422798959,15.2,13.9,2.3545,2.5028
Mongolia,East Asia,0,1.235002268,4.848686112,1423.6868512051565,1893.9663395890668,66.99264181,99.8540144,1423.6868512051565,1893.9663395890668,28.8,20.1,2.8816,3.0922
Montenegro,Eastern Europe,0,6.39750853,15.28247212,6287.187848984308,4574.964544829662,186.3825404,158.6828345,6287.187848984308,4574.964544829662,7.2,4.0,2.1117,2.1523
Mozambique,Africa,1,0.049985195,0.112876165,443.42501879551077,451.04306790347954,19.77414323,48.51691587,443.42501879551077,451.04306790347954,76.0,64.7,0.026,0.0568
Netherlands,Western Europe,0,35.0372016,40.32415587,7173.04629878655,6833.911434792916,124.4982528,115.5757277,7173.04629878655,6833.911434792916,4.0,3.5,2.849,3.3058
Nicaragua,North America,0,0.762461729,2.172172108,471.8182966688993,586.5603776155627,54.83968753,112.313044,471.8182966688993,586.5603776155627,22.0,18.0,0.6486,0.8981
Niger,Africa,1,0.004045661,0.034586591,39.210767250459035,48.25908720503524,12.44272144,37.86313016,39.210767250459035,48.25908720503524,68.0,55.2,0.0189,0.0511
Nigeria,Africa,0,0.045102928,0.008759019,127.2446136851266,142.7292120325756,41.91698278,74.08115012,127.2446136851266,142.7292120325756,88.0,81.2,0.3762,0.3828
North Macedonia,Eastern Europe,0,8.755906822,16.30419442,3676.276744308664,3550.466868811911,95.17334821,107.7638631,3676.276744308664,3550.466868811911,10.3,10.0,2.5947,2.7956
Norway,Northern Europe,0,33.06274823,37.61663407,24866.13430778665,23806.884881023652,109.226289,112.0602899,24866.13430778665,23806.884881023652,2.9,2.3,2.4077,2.5991
Oman,Middle East,0,1.179477877,4.098219138,4790.698215456736,6207.227200346366,117.0262559,149.2089101,4790.698215456736,6207.227200346366,10.3,9.7,1.888,2.0381
Pakistan,South Asia,0,0.09792193,0.851248635,422.06483435987013,457.81990066871987,51.27891755,66.78696418,422.06483435987013,457.81990066871987,72.8,65.4,0.7806,0.8771
Panama,North America,0,5.579596633,8.011242532,1626.7543066329486,2018.5391689677892,111.348659,161.7713766,1626.7543066329486,2018.5391689677892,18.0,15.5,1.3808,1.5821
Poland,Eastern Europe,0,11.63467137,18.42614247,3725.748777880068,3938.255207728162,114.5204528,149.3074631,3725.748777880068,3938.255207728162,5.8,4.5,2.1482,2.234
Portugal,Western Europe,0,15.43538021,24.47580311,4850.837412557111,4685.054787112728,132.5981184,114.4941178,4850.837412557111,4685.054787112728,3.2,3.0,3.7405,4.3932
Romania,Eastern Europe,0,12.08573391,18.82636552,2605.8197354887006,2494.533918230229,117.47752,113.7945408,2605.8197354887006,2494.533918230229,11.9,9.0,2.4133,2.624
Russian Federation,Eastern Europe,0,6.478240887,16.45263962,6399.683749112019,6539.207374525541,139.2838126,151.2556334,6399.683749112019,6539.207374525541,9.6,8.1,2.3812,4.0705
Senegal,Africa,1,0.394495456,0.774413848,160.93696635484434,215.34665623889663,44.89185528,95.29362905,160.93696635484434,215.34665623889663,46.2,38.6,0.0617,0.3179
Serbia,Eastern Europe,0,6.211928785,16.41635824,4291.84315793455,4444.222970766033,130.6946168,128.668141,4291.84315793455,4444.222970766033,6.9,6.0,2.4215,2.4945
Singapore,Southeast Asia,0,22.4297312,27.38305863,8401.048395295611,8680.606360764874,134.3187451,154.7214323,8401.048395295611,8680.606360764874,2.2,2.2,1.6418,1.8958
Slovak Republic,Eastern Europe,0,11.19923043,20.45585123,5294.435098832863,5202.467288076074,102.234927,114.5099023,5294.435098832863,5202.467288076074,6.1,5.3,3.3561,3.3855
Slovenia,Western Europe,0,21.02239587,25.42864898,6920.244039031997,6779.280886505663,101.5742057,110.6859547,6920.244039031997,6779.280886505663,2.9,2.2,2.3994,2.6252
South Africa,Africa,0,0.855774462,3.008561402,4665.176038829822,4285.645767025148,90.39871075,143.1726577,4665.176038829822,4285.645767025148,41.2,29.2,0.6968,0.7422
Spain,Western Europe,0,19.83111524,26.10678906,6025.77275684571,5409.411337977044,107.7156929,106.8785336,6025.77275684571,5409.411337977044,3.4,2.9,2.9847,3.1425
Sri Lanka,South Asia,0,0.510018423,2.053700118,426.3914542765847,525.7226135535584,55.45667971,98.31633729,426.3914542765847,525.7226135535584,10.6,8.6,0.6244,0.7983
Sweden,Northern Europe,0,31.42809103,32.72624001,14869.348977622438,13870.389908565068,108.4185358,124.9152424,14869.348977622438,13870.389908565068,2.6,2.4,3.7353,4.1259
Switzerland,Western Europe,0,33.53478981,42.39913339,8305.923041970273,7807.058815385076,116.7114642,136.2535853,8305.923041970273,7807.058815385076,4.0,3.8,3.8298,4.0303
Tajikistan,Western Asia,0,0.050735583,0.07196236,1947.038554081846,1692.7256841438143,50.95084141,93.51508709,1947.038554081846,1692.7256841438143,39.8,34.4,1.9292,2.8691
Turkey,Middle East,0,8.175346674,11.71331825,2422.7117683035276,2755.6239571514448,93.4754543,91.749337,2422.7117683035276,2755.6239571514448,18.0,12.7,1.6068,1.7619
Turkmenistan,Western Asia,0,0.001519521,0.033542177,2316.560857334172,2540.8208444581596,22.99845191,114.1421644,2316.560857334172,2540.8208444581596,38.9,36.0,2.3026,2.2125
Ukraine,Eastern Europe,0,3.464220984,8.858429483,3534.3579922681365,3600.2257040986556,120.558086,138.4411243,3534.3579922681365,3600.2257040986556,11.1,8.8,3.1177,3.4965
United Arab Emirates,Middle East,0,7.864842689,11.32794298,11294.189733924293,10724.503876316223,131.9945294,174.6434462,11294.189733924293,10724.503876316223,7.6,6.8,1.6405,1.7413
United Kingdom,Northern Europe,0,27.85420546,35.45456823,6015.726860689474,5409.626421718857,120.5902647,121.0666567,6015.726860689474,5409.626421718857,4.8,4.0,2.5543,2.6774
United States,North America,0,25.4146804,30.35140225,13663.427968182703,13004.023568984525,86.09952013,98.19768385,13663.427968182703,13004.023568984525,6.5,6.0,2.4412,2.5596
Uzbekistan,Western Asia,0,0.238752101,1.023297952,1652.651010152805,1637.1944767749444,44.79415812,71.82796594,1652.651010152805,1637.1944767749444,33.5,23.5,2.6048,2.4044
Vietnam,Southeast Asia,0,2.375779122,5.677607533,802.5539431273044,1276.8560783712262,86.81510552,136.343827,802.5539431273044,1276.8560783712262,18.8,17.6,0.6648,1.18
Zimbabwe,Africa,0,0.145401097,0.778375256,627.890199266484,628.7462422412309,13.36656933,102.1182479,627.890199266484,628.7462422412309,56.4,45.9,0.0596,0.0834
